timestamp_utc,phase,elapsed_s,tctl_c,cpu_ppt_w,gpu_ppt_w,fan_rpm,freq_now_avg_all_mhz,freq_now_max_any_mhz,freq_hw_avg_all_mhz,freq_hw_max_any_mhz,freq_now_min_any_mhz,cpu0_now_mhz,cpu0_hw_avg_mhz,active_now_mhz,active_hw_avg_mhz,phase_peak_now_mhz,phase_peak_hw_avg_mhz,policy_max_mhz,hardware_max_mhz,cpu_util_pct,load1,mem_used_pct,thermal_throttle_count,bottleneck,stress_pid
2026-08-27T07:21:52Z,one_core,54,68.2,NA,27.07,0,2787.6,4766.3,3050.2,4766.3,1101.0,4766.3,4766.3,4766.3,4766.3,4791.2,4791.2,5137.9,5137.9,8.2,1.78,11.1,NA,none,44
2026-08-27T07:21:54Z,one_core,56,68.4,NA,35.56,0,3211.9,4765.9,3241.5,4766.3,1101.0,4765.9,4766.3,4765.9,4766.3,4791.2,4791.2,5137.9,5137.9,8.7,1.78,11.1,NA,none,44
2026-08-27T07:21:57Z,one_core,58,68.1,NA,25.72,0,3076.6,4770.8,3145.6,4767.2,1101.0,4766.4,4766.3,4766.4,4766.3,4791.2,4791.2,5137.9,5137.9,8.3,1.79,11.1,NA,none,44
2026-08-27T07:21:59Z,one_core,61,68.2,NA,40.06,0,3074.1,4766.3,3026.4,4766.3,1101.0,4766.3,4766.2,4766.3,4766.2,4791.2,4791.2,5137.9,5137.9,8.3,1.79,11.2,NA,none,44
2026-08-27T07:22:01Z,one_core,63,68.4,NA,25.96,0,4050.6,4766.1,3799.8,4766.2,1101.0,4766.1,4766.2,4766.1,4766.2,4791.2,4791.2,5137.9,5137.9,8.9,1.79,11.2,NA,none,44
2026-08-27T07:22:03Z,one_core,65,68.9,NA,26.77,0,2976.7,4766.3,3118.5,4766.2,1101.0,4766.3,4766.2,4766.3,4766.2,4791.2,4791.2,5137.9,5137.9,9.2,1.73,11.2,NA,none,44
2026-08-27T07:22:05Z,one_core,67,68.9,NA,24.24,0,3755.6,4766.3,3403.6,4766.3,1101.0,4766.3,4766.3,4766.3,4766.3,4791.2,4791.2,5137.9,5137.9,8.3,1.73,11.2,NA,none,44
2026-08-27T07:22:08Z,one_core,69,68.8,NA,25.97,0,3304.7,4766.1,3101.3,4766.3,1101.0,4766.1,4766.3,4766.1,4766.3,4791.2,4791.2,5137.9,5137.9,8.0,1.75,11.1,NA,none,44
2026-08-27T07:22:10Z,one_core,72,69.0,NA,27.68,0,3198.8,4766.2,3382.8,4767.0,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.9,1.75,11.1,NA,none,44
2026-08-27T07:22:12Z,one_core,74,68.9,NA,37.04,0,3280.2,4769.9,3496.9,4766.2,1101.0,4766.2,4766.2,4766.2,4766.2,4791.2,4791.2,5137.9,5137.9,8.4,1.77,11.2,NA,none,44
2026-08-27T07:22:14Z,one_core,76,69.1,NA,28.27,0,3339.5,4766.0,3088.4,4766.7,1101.0,4766.0,4766.3,4766.0,4766.3,4791.2,4791.2,5137.9,5137.9,8.8,1.77,11.2,NA,none,44
2026-08-27T07:22:17Z,one_core,78,69.0,NA,26.03,0,3305.9,4770.9,3217.0,4766.3,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.3,1.79,11.2,NA,none,44
2026-08-27T07:22:19Z,one_core,81,68.9,NA,25.86,0,3267.7,4766.3,3076.3,4766.3,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.1,1.79,11.2,NA,none,44
2026-08-27T07:22:21Z,one_core,83,69.4,NA,35.62,0,3683.1,4741.0,3503.4,4741.0,1101.0,4741.0,4741.0,4741.0,4741.0,4791.2,4791.2,5137.9,5137.9,10.6,1.79,11.3,NA,none,44
2026-08-27T07:22:23Z,one_core,85,70.2,NA,24.68,0,2683.0,4741.2,2844.0,4766.3,1101.0,4739.2,4766.3,4739.2,4766.3,4791.2,4791.2,5137.9,5137.9,12.5,1.81,11.3,NA,none,44
2026-08-27T07:22:26Z,one_core,87,69.8,NA,26.03,0,3077.1,4766.2,3010.7,4766.3,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.1,1.81,11.2,NA,none,44
2026-08-27T07:22:28Z,one_core,90,69.6,NA,26.65,0,3571.2,4769.7,3376.1,4766.3,1101.0,4766.3,4766.3,4766.3,4766.3,4791.2,4791.2,5137.9,5137.9,8.1,1.82,11.2,NA,none,44
2026-08-27T07:22:30Z,one_core,92,69.4,NA,50.16,0,3493.6,4758.9,3841.7,4758.9,1101.0,4729.3,4741.9,4729.3,4741.9,4791.2,4791.2,5137.9,5137.9,9.0,1.82,11.2,NA,none,44
2026-08-27T07:22:32Z,one_core,94,69.9,NA,39.89,0,3498.0,4745.2,3588.1,4766.3,1101.0,4745.2,4766.3,4745.2,4766.3,4791.2,4791.2,5137.9,5137.9,9.9,1.84,11.2,NA,none,44
2026-08-27T07:22:35Z,one_core,96,70.2,NA,26.45,0,3225.5,4766.2,3528.5,4766.3,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,9.8,1.84,10.9,NA,none,44
2026-08-27T07:22:37Z,one_core,99,70.1,NA,30.02,0,3517.2,4766.1,3051.7,4765.5,1101.0,4766.1,4765.5,4766.1,4765.5,4791.2,4791.2,5137.9,5137.9,8.4,1.85,10.9,NA,none,44
2026-08-27T07:22:39Z,one_core,101,70.0,NA,25.58,0,3208.3,4766.2,2963.4,4749.5,1101.0,4766.2,4741.3,4766.2,4741.3,4791.2,4791.2,5137.9,5137.9,8.1,1.85,10.9,NA,none,44
2026-08-27T07:22:41Z,one_core,103,70.1,NA,28.82,0,2623.1,4766.2,2820.5,4766.3,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.7,1.85,10.9,NA,none,44
2026-08-27T07:22:44Z,one_core,105,70.0,NA,27.16,0,3729.4,4741.0,3854.0,4742.4,1101.0,4740.8,4741.0,4740.8,4741.0,4791.2,4791.2,5137.9,5137.9,8.7,1.86,10.9,NA,none,44
2026-08-27T07:22:46Z,one_core,108,70.1,NA,25.77,0,3220.3,4766.3,2731.6,4766.2,1101.0,4766.3,4766.2,4766.3,4766.2,4791.2,4791.2,5137.9,5137.9,8.1,1.86,10.9,NA,none,44
2026-08-27T07:22:48Z,one_core,110,70.0,NA,28.02,0,3234.2,4768.4,3478.0,4768.4,1101.0,4766.1,4766.3,4766.1,4766.3,4791.2,4791.2,5137.9,5137.9,7.9,1.79,10.9,NA,none,44
2026-08-27T07:22:50Z,one_core,112,69.9,NA,25.62,0,3039.0,4766.2,3370.5,4766.2,1101.0,4766.2,4766.2,4766.2,4766.2,4791.2,4791.2,5137.9,5137.9,8.1,1.79,10.9,NA,none,44
2026-08-27T07:22:52Z,one_core,114,69.9,NA,25.55,0,2845.1,4775.5,2673.4,4766.1,1101.0,4766.2,4766.1,4766.2,4766.1,4791.2,4791.2,5137.9,5137.9,8.5,1.73,10.9,NA,none,44
2026-08-27T07:22:55Z,one_core,116,70.0,NA,25.91,0,3039.7,4765.7,3305.4,4768.3,1101.0,4765.7,4766.3,4765.7,4766.3,4791.2,4791.2,5137.9,5137.9,8.7,1.73,11.0,NA,none,44
2026-08-27T07:22:57Z,one_core,119,69.9,NA,27.94,0,3198.0,4766.3,3225.1,4766.3,1101.0,4766.3,4766.3,4766.3,4766.3,4791.2,4791.2,5137.9,5137.9,8.1,1.83,11.0,NA,none,44
2026-08-27T07:22:59Z,one_core,121,69.9,NA,26.24,0,3682.9,4766.2,3797.9,4766.2,1101.0,4766.2,4766.2,4766.2,4766.2,4791.2,4791.2,5137.9,5137.9,8.3,1.83,10.9,NA,none,44
2026-08-27T07:23:01Z,one_core,123,70.0,NA,26.36,0,3215.1,4741.4,3159.8,4741.3,1101.0,4741.0,4741.3,4741.0,4741.3,4791.2,4791.2,5137.9,5137.9,8.9,1.83,11.0,NA,none,44
2026-08-27T07:23:04Z,one_core,125,70.0,NA,28.51,0,3085.2,4766.3,2823.0,4755.4,1101.0,4766.3,4730.4,4766.3,4730.4,4791.2,4791.2,5137.9,5137.9,8.4,1.85,11.0,NA,none,44
2026-08-27T07:23:06Z,one_core,128,70.1,NA,25.38,0,3100.9,4766.3,3015.5,4766.3,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.8,1.85,11.0,NA,none,44
2026-08-27T07:23:08Z,one_core,130,69.9,NA,24.31,0,3173.4,4766.3,2842.3,4766.1,1101.0,4766.3,4766.1,4766.3,4766.1,4791.2,4791.2,5137.9,5137.9,8.0,1.86,10.9,NA,none,44
2026-08-27T07:23:10Z,one_core,132,69.8,NA,29.97,0,3503.9,4766.2,3375.7,4769.3,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.2,1.86,10.9,NA,none,44
2026-08-27T07:23:13Z,one_core,134,70.0,NA,33.30,0,3390.3,4766.2,3276.0,4766.3,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.5,1.95,11.0,NA,none,44
2026-08-27T07:23:15Z,one_core,137,70.1,NA,40.09,0,3440.5,4766.3,3760.6,4766.2,1101.0,4766.3,4766.2,4766.3,4766.2,4791.2,4791.2,5137.9,5137.9,8.9,1.95,11.0,NA,none,44
2026-08-27T07:23:17Z,one_core,139,70.0,NA,24.48,0,3046.5,4766.3,2873.0,4766.3,1101.0,4766.3,4766.3,4766.3,4766.3,4791.2,4791.2,5137.9,5137.9,8.3,1.95,11.0,NA,none,44
2026-08-27T07:23:19Z,one_core,141,69.8,NA,24.12,0,3485.5,4766.2,3302.3,4765.8,1101.0,4766.2,4765.8,4766.2,4765.8,4791.2,4791.2,5137.9,5137.9,8.1,1.95,11.0,NA,none,44
2026-08-27T07:23:22Z,one_core,143,69.8,NA,25.34,0,3090.6,4766.3,3078.3,4766.3,1101.0,4766.3,4766.3,4766.3,4766.3,4791.2,4791.2,5137.9,5137.9,8.7,2.04,10.9,NA,none,44
2026-08-27T07:23:24Z,one_core,146,69.8,NA,25.83,0,3478.4,4766.1,3569.9,4766.0,1101.0,4766.1,4766.0,4766.1,4766.0,4791.2,4791.2,5137.9,5137.9,8.8,2.04,11.0,NA,none,44
2026-08-27T07:23:26Z,one_core,148,69.9,NA,26.04,0,2744.2,4766.2,2817.7,4766.3,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.9,2.04,11.0,NA,none,44
2026-08-27T07:23:28Z,one_core,150,69.8,NA,25.91,0,3972.7,4765.4,3994.5,4766.1,1101.0,4765.4,4766.1,4765.4,4766.1,4791.2,4791.2,5137.9,5137.9,8.5,1.95,11.0,NA,none,44
2026-08-27T07:23:30Z,one_core,152,69.8,NA,25.69,0,2933.3,4766.3,2614.2,4757.1,1101.0,4766.3,4741.2,4766.3,4741.2,4791.2,4791.2,5137.9,5137.9,8.0,1.95,11.0,NA,none,44
2026-08-27T07:23:33Z,one_core,154,69.9,NA,26.76,0,3407.8,4766.3,3188.7,4766.3,1101.0,4766.3,4766.3,4766.3,4766.3,4791.2,4791.2,5137.9,5137.9,9.1,1.96,10.9,NA,none,44
2026-08-27T07:23:35Z,one_core,157,70.0,NA,24.21,0,3084.2,4766.3,3344.9,4766.2,1101.0,4766.3,4766.2,4766.3,4766.2,4791.2,4791.2,5137.9,5137.9,8.9,1.96,10.9,NA,none,44
2026-08-27T07:23:37Z,one_core,159,69.9,NA,25.71,0,2690.6,4765.6,3171.0,4766.3,1101.0,4765.6,4766.3,4765.6,4766.3,4791.2,4791.2,5137.9,5137.9,8.2,1.96,11.0,NA,none,44
2026-08-27T07:23:39Z,one_core,161,69.8,NA,25.35,0,3595.1,4766.2,3463.3,4766.5,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.1,1.96,10.9,NA,none,44
2026-08-27T07:23:42Z,one_core,163,69.8,NA,38.59,0,3081.5,4767.8,2978.9,4765.7,1101.0,4766.3,4765.7,4766.3,4765.7,4791.2,4791.2,5137.9,5137.9,8.2,1.97,10.9,NA,none,44
2026-08-27T07:23:44Z,one_core,166,69.9,NA,25.84,0,3035.9,4766.3,2991.3,4766.2,1101.0,4766.2,4766.2,4766.2,4766.2,4791.2,4791.2,5137.9,5137.9,8.5,1.97,11.0,NA,none,44
2026-08-27T07:23:46Z,one_core,168,70.0,NA,25.44,0,3195.1,4766.0,3108.5,4765.1,1101.0,4766.0,4765.1,4766.0,4765.1,4791.2,4791.2,5137.9,5137.9,9.1,1.97,11.0,NA,none,44
2026-08-27T07:23:48Z,one_core,170,69.9,NA,26.82,0,3341.8,4766.2,3327.3,4765.9,1101.0,4766.2,4765.9,4766.2,4765.9,4791.2,4791.2,5137.9,5137.9,8.1,1.97,11.0,NA,none,44
2026-08-27T07:23:51Z,one_core,172,69.9,NA,26.16,0,3495.5,4766.6,3008.0,4770.0,1101.0,4766.3,4766.3,4766.3,4766.3,4791.2,4791.2,5137.9,5137.9,8.0,1.97,11.0,NA,none,44
2026-08-27T07:23:53Z,one_core,175,69.9,NA,26.46,0,3216.4,4766.3,2802.1,4765.3,1101.0,4766.3,4765.3,4766.3,4765.3,4791.2,4791.2,5137.9,5137.9,8.2,1.89,10.9,NA,none,44
2026-08-27T07:23:55Z,one_core,177,70.0,NA,26.27,0,3078.6,4766.3,2946.9,4766.2,1101.0,4766.3,4766.2,4766.3,4766.2,4791.2,4791.2,5137.9,5137.9,9.1,1.89,10.9,NA,none,44
2026-08-27T07:23:57Z,one_core,179,69.8,NA,32.65,0,3864.1,4766.2,3989.5,4766.3,1101.0,4766.2,4766.3,4766.2,4766.3,4791.2,4791.2,5137.9,5137.9,8.7,1.82,10.9,NA,none,44
