timestamp_utc	profile	phase	elapsed_s	cpu_temp_c	gpu_temp_c	amdgpu_power_w	freq_avg_mhz	policy_max_mhz	hardware_max_mhz	load1	thermal_throttle_count
2026-09-20T10:20:21Z	performance	cooldown-before	0	47.2	43.0	12.548	2960.66	5137.90	5137.90	1.99	NA
2026-09-20T10:20:21Z	performance	one-core	0	47.2	44.0	12.740	2868.68	5137.90	5137.90	1.99	NA
2026-09-20T10:20:23Z	performance	one-core	2	59.5	46.0	17.966	3344.25	5137.90	5137.90	1.99	NA
2026-09-20T10:20:25Z	performance	one-core	4	62.2	47.0	18.916	3044.01	5137.90	5137.90	1.99	NA
2026-09-20T10:20:27Z	performance	one-core	6	63.2	47.0	20.347	3521.53	5137.90	5137.90	1.99	NA
2026-09-20T10:20:29Z	performance	one-core	8	63.5	47.0	19.459	3242.53	5137.90	5137.90	1.99	NA
2026-09-20T10:20:31Z	performance	one-core	10	63.5	47.0	18.700	2885.13	5137.90	5137.90	1.99	NA
2026-09-20T10:20:33Z	performance	one-core	12	63.9	47.0	19.401	2955.06	5137.90	5137.90	2.16	NA
2026-09-20T10:20:35Z	performance	one-core	14	64.6	49.0	21.859	2965.99	5137.90	5137.90	2.16	NA
2026-09-20T10:20:37Z	performance	one-core	16	64.9	48.0	20.970	3158.20	5137.90	5137.90	2.14	NA
2026-09-20T10:20:39Z	performance	one-core	18	64.8	48.0	19.404	2657.45	5137.90	5137.90	2.14	NA
2026-09-20T10:20:41Z	performance	one-core	20	64.8	48.0	18.991	2917.83	5137.90	5137.90	2.13	NA
2026-09-20T10:20:43Z	performance	one-core	22	64.9	48.0	19.091	3265.59	5137.90	5137.90	2.13	NA
2026-09-20T10:20:45Z	performance	one-core	24	65.0	48.0	19.174	3059.06	5137.90	5137.90	2.13	NA
2026-09-20T10:20:47Z	performance	one-core	26	65.4	48.0	20.997	3340.87	5137.90	5137.90	2.12	NA
2026-09-20T10:20:49Z	performance	one-core	28	65.4	49.0	20.591	3512.59	5137.90	5137.90	2.12	NA
2026-09-20T10:20:51Z	performance	one-core	30	65.4	48.0	19.517	3234.21	5137.90	5137.90	2.03	NA
2026-09-20T10:20:53Z	performance	one-core	32	65.4	50.0	19.938	3980.47	5137.90	5137.90	2.03	NA
2026-09-20T10:20:55Z	performance	one-core	34	65.5	49.0	20.226	3666.72	5137.90	5137.90	2.03	NA
2026-09-20T10:20:57Z	performance	one-core	36	66.1	49.0	24.131	3034.11	5137.90	5137.90	2.27	NA
2026-09-20T10:20:59Z	performance	one-core	38	65.9	49.0	21.294	3607.89	5137.90	5137.90	2.27	NA
2026-09-20T10:21:01Z	performance	one-core	40	65.8	49.0	20.039	3075.24	5137.90	5137.90	2.41	NA
2026-09-20T10:21:04Z	performance	one-core	42	65.8	50.0	19.926	2816.75	5137.90	5137.90	2.41	NA
2026-09-20T10:21:06Z	performance	one-core	45	66.1	50.0	20.609	3160.27	5137.90	5137.90	2.41	NA
2026-09-20T10:21:08Z	performance	one-core	47	66.1	50.0	20.887	3311.02	5137.90	5137.90	2.37	NA
2026-09-20T10:21:10Z	performance	one-core	49	66.0	50.0	20.147	3463.00	5137.90	5137.90	2.37	NA
2026-09-20T10:21:12Z	performance	one-core	51	65.9	50.0	19.477	3224.21	5137.90	5137.90	2.42	NA
2026-09-20T10:21:14Z	performance	one-core	53	65.9	50.0	19.524	3515.10	5137.90	5137.90	2.42	NA
2026-09-20T10:21:16Z	performance	one-core	55	65.9	51.0	19.906	3446.64	5137.90	5137.90	2.42	NA
2026-09-20T10:21:18Z	performance	one-core	57	66.2	50.0	20.891	3193.78	5137.90	5137.90	2.39	NA
2026-09-20T10:21:20Z	performance	one-core	59	66.1	50.0	19.982	3136.76	5137.90	5137.90	2.39	NA
2026-09-20T10:21:22Z	performance	one-core	61	60.2	45.0	14.490	2587.74	5137.90	5137.90	2.28	NA
2026-09-20T10:21:22Z	performance	cooldown-between	0	60.0	46.0	14.713	3064.51	5137.90	5137.90	2.28	NA
2026-09-20T10:21:22Z	performance	all-core	0	60.0	47.0	14.877	3569.10	5137.90	5137.90	2.28	NA
2026-09-20T10:21:24Z	performance	all-core	2	74.2	54.0	53.380	4368.07	5137.90	5137.90	2.28	NA
2026-09-20T10:21:26Z	performance	all-core	4	68.5	52.0	40.066	4017.64	5137.90	5137.90	3.54	NA
2026-09-20T10:21:28Z	performance	all-core	6	65.2	53.0	35.943	3909.66	5137.90	5137.90	3.54	NA
2026-09-20T10:21:30Z	performance	all-core	8	64.4	53.0	35.155	4012.21	5137.90	5137.90	3.54	NA
2026-09-20T10:21:32Z	performance	all-core	10	64.2	53.0	35.033	3966.37	5137.90	5137.90	4.70	NA
2026-09-20T10:21:35Z	performance	all-core	13	64.4	54.0	35.013	3867.30	5137.90	5137.90	4.70	NA
2026-09-20T10:21:37Z	performance	all-core	15	65.0	55.0	35.021	3942.66	5137.90	5137.90	6.32	NA
2026-09-20T10:21:39Z	performance	all-core	17	65.6	55.0	34.990	4012.66	5137.90	5137.90	6.32	NA
2026-09-20T10:21:41Z	performance	all-core	19	66.0	56.0	35.005	3892.60	5137.90	5137.90	6.32	NA
2026-09-20T10:21:43Z	performance	all-core	21	66.4	56.0	35.003	3992.69	5137.90	5137.90	7.34	NA
2026-09-20T10:21:45Z	performance	all-core	23	66.8	56.0	35.017	3956.79	5137.90	5137.90	7.34	NA
